CICLO,CP,LOJA,REGIONAL,UF,CANAL,SKU,PRODUTO,UN DO MATERIAL,CATEGORIA,SUB CATEGORIA,CAMPANHA,MARCA,COLABORE,VOLUME PEDIDO SUGESTÃO,VOLUME PEDIDO COLOCADO,GIRO (%),VOLUME PEDIDO FATURADO,LOCAL
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24303,Regional NE-S,AL,LOJA,50018,BOTI SUN PR FAC ANT ACQ/F FPS30 10ml PRM,BOT,SUPORTE À VENDA,PRM,BOLETO PROMOCIONAL BOT C13'26,BOTI SUN,Não,36,0,0.00%,0,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24670,Regional NE-S,AL,LOJA,50398,CJ SCH BOTI SUN P/S F/CP FPS50 U/FL 2x5g,BOT,SUPORTE À VENDA,AMOSTRA,CALÇADA PERFUMADA BOT C13'26,BOTI SUN,Não,28,28,0.00%,28,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24669,Regional NE-S,AL,LOJA,50398,CJ SCH BOTI SUN P/S F/CP FPS50 U/FL 2x5g,BOT,SUPORTE À VENDA,AMOSTRA,CALÇADA PERFUMADA BOT C13'26,BOTI SUN,Não,32,32,0.00%,32,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24668,Regional NE-S,AL,LOJA,50398,CJ SCH BOTI SUN P/S F/CP FPS50 U/FL 2x5g,BOT,SUPORTE À VENDA,AMOSTRA,CALÇADA PERFUMADA BOT C13'26,BOTI SUN,Não,36,36,0.00%,36,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24617,Regional NE-S,AL,LOJA,50398,CJ SCH BOTI SUN P/S F/CP FPS50 U/FL 2x5g,BOT,SUPORTE À VENDA,AMOSTRA,CALÇADA PERFUMADA BOT C13'26,BOTI SUN,Não,3,15,0.00%,15,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24303,Regional NE-S,AL,LOJA,50398,CJ SCH BOTI SUN P/S F/CP FPS50 U/FL 2x5g,BOT,SUPORTE À VENDA,AMOSTRA,CALÇADA PERFUMADA BOT C13'26,BOTI SUN,Não,7,10,0.00%,10,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24671,Regional NE-S,AL,LOJA,50398,CJ SCH BOTI SUN P/S F/CP FPS50 U/FL 2x5g,BOT,SUPORTE À VENDA,AMOSTRA,CALÇADA PERFUMADA BOT C13'26,BOTI SUN,Não,20,28,0.00%,28,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24303,Regional NE-S,AL,LOJA,51165,CBEM SAB BARRA ROSA/ALGODAO 4x80g,BOT,SABONETE CORPO,CORPO,BOLETO TURBINADO BOT C13'26,CUIDE-SE BEM,Não,3,5,240.00%,5,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24617,Regional NE-S,AL,LOJA,51165,CBEM SAB BARRA ROSA/ALGODAO 4x80g,BOT,SABONETE CORPO,CORPO,BOLETO TURBINADO BOT C13'26,CUIDE-SE BEM,Não,3,3,33.33%,3,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24671,Regional NE-S,AL,LOJA,51165,CBEM SAB BARRA ROSA/ALGODAO 4x80g,BOT,SABONETE CORPO,CORPO,BOLETO TURBINADO BOT C13'26,CUIDE-SE BEM,Não,41,0,0.00%,0,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24668,Regional NE-S,AL,LOJA,51165,CBEM SAB BARRA ROSA/ALGODAO 4x80g,BOT,SABONETE CORPO,CORPO,BOLETO TURBINADO BOT C13'26,CUIDE-SE BEM,Não,77,0,0.00%,0,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24670,Regional NE-S,AL,LOJA,51165,CBEM SAB BARRA ROSA/ALGODAO 4x80g,BOT,SABONETE CORPO,CORPO,BOLETO TURBINADO BOT C13'26,CUIDE-SE BEM,Não,39,0,0.00%,0,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24669,Regional NE-S,AL,LOJA,51165,CBEM SAB BARRA ROSA/ALGODAO 4x80g,BOT,SABONETE CORPO,CORPO,BOLETO TURBINADO BOT C13'26,CUIDE-SE BEM,Não,46,0,0.00%,0,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24303,Regional NE-S,AL,LOJA,51231,CBEM SAB BARRA CEREJA LIVRE V2 2x80g,BOT,SABONETE CORPO,CORPO,BOLETO PROMOCIONAL BOT C13'26,CUIDE-SE BEM,Não,39,0,0.00%,0,INTERIOR
Ciclo 13 - 2026,10258 - CP ALCINA MARIA,24671,Regional NE-S,AL,LOJA,51231,CBEM SAB BARRA CEREJA LIVRE V2 2x80g,BOT,SABONETE CORPO,CORPO,BOLETO PROMOCIONAL BOT C13'26,CUIDE-SE BEM,Não,45,0,0.00%,0,INTERIOR
