Quebra;Quebra2;Código;Descrição;Quantidade;Faturamento;Preço médio;Custo Total;Imposto Estadual;Imposto Federal;Lucro;Margem;Markup;Participação;Acumulado;Classificação;ICMS ST;Fecop ST
10/08/2026;024668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033860586;SOPHIE SPLSH CPO/CAB SHIM BRLH/INT 110ml;1,000;79,90;79,90;15,46;0,00;0,00;64,44;80,65;416,82;1,44;80,34;B;;
10/08/2026;024668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033486342;DREAM DES COL SPLSH AMOR NO AR 200ml V2;1,000;101,90;101,90;46,09;0,00;0,00;55,81;54,77;121,09;1,25;81,59;B;;
10/08/2026;024668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033581382;BOTI NECESS PINK STARS PES;4,000;147,60;36,90;86,72;0,00;5,39;55,49;37,60;70,20;1,24;82,83;B;;
10/08/2026;024668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033035304;CAIXA M INST 2021 VERDE ECONOMICA;17,000;55,35;3,26;0,00;0,00;0,00;55,35;100,00;0,00;1,24;84,07;B;;
10/08/2026;024668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033885633;NSPA DES COL BDY SPLSH AMEIXA V3 200ml;1,000;95,48;95,48;42,48;0,00;0,00;53,00;55,51;124,76;1,19;85,25;B;;
10/08/2026;024668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033598762;BOTIK CR MULTIREP FAC CIC/PANT/CER 30g;1,000;62,90;62,90;12,97;0,00;0,00;49,93;79,38;384,97;1,12;86,37;B;;
10/08/2026;024668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033477821;BOTI BABY COL NAN/NEN 100ml;1,000;87,01;87,01;38,55;0,00;0,00;48,46;55,69;125,71;1,08;87,46;B;;
10/08/2026;024668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033854837;FLORATTA DES BDY SPRAY RED V2 100ml;1,000;52,90;52,90;7,12;0,00;0,00;45,78;86,54;642,98;1,02;88,48;B;;
10/08/2026;024668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033533886;NSPA SAB LIQ PERF AMEIXA 250ml;1,000;53,91;53,91;8,87;0,00;0,00;45,04;83,55;507,78;1,01;89,49;B;;
10/08/2026;024668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033499038;CBEM LOC DES HID CPO PESSEGURA V2 200ml;1,000;53,89;53,89;9,02;0,00;0,00;44,87;83,26;497,45;1,00;90,49;B;;
10/08/2026;024668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033498963;CBEM LOC DES HID CPO ROS/ALG V3 200ml;1,000;50,57;50,57;9,38;0,00;0,00;41,19;81,45;439,13;0,92;91,41;B;;
10/08/2026;024668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033954544;PMPCK QUASAR DES BODY SPRAY DEEP BLUE;1,000;74,85;74,85;34,03;0,00;0,00;40,82;54,54;119,95;0,91;92,32;B;;
10/08/2026;024668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033522583;INTENSE BAT LIQ MATE 530 V2 5ml;1,000;38,61;38,61;0,00;0,00;0,00;38,61;100,00;0,00;0,86;93,19;B;;
10/08/2026;024668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033520732;MATCH FIN CAP JELLY CIEN/CURV 350g;1,000;57,80;57,80;20,36;0,00;0,00;37,44;64,78;183,89;0,84;94,03;B;;
10/08/2026;024668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033880799;NSPA LOC DES HID CPO AMEIXA V6 200ml;1,000;62,91;62,91;27,57;0,00;0,00;35,34;56,18;128,18;0,79;94,82;B;;
10/08/2026;024668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033487851;MALBEC DES BDY SPR 100ml V4 PCK;1,000;40,42;40,42;8,52;0,00;0,00;31,90;78,92;374,41;0,71;95,53;C;;
10/08/2026;024668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033907243;MAKE B BAS LIQ MATE SALICYLIC 140Q 30g;1,000;66,31;66,31;36,15;0,00;0,00;30,16;45,48;83,43;0,67;96,20;C;;
10/08/2026;024668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033868698;CLASH LOC DES HID CPO 200ml;1,000;35,85;35,85;11,25;0,00;0,00;24,60;68,62;218,67;0,55;96,75;C;;
10/08/2026;024668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033514021;BOTICA 214 DES ANT AER FIJ P/FG/ES 125ml;1,000;35,78;35,78;11,92;0,00;0,00;23,86;66,69;200,17;0,53;97,29;C;;
10/08/2026;024668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033509560;CLASH DES BDY SPR 100ml;1,000;32,75;32,75;8,94;0,00;0,00;23,81;72,70;266,33;0,53;97,82;C;;
10/08/2026;024668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033878185;MAKE B BAT EASY MATE WHISPER BEIGE 39g;1,000;45,59;45,59;25,72;0,00;0,00;19,87;43,58;77,26;0,44;98,26;C;;
10/08/2026;024668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033512317;CBEM SAB BARRA CEREJA LIVRE V2 2x80g;1,000;24,90;24,90;7,39;0,00;0,00;17,51;70,32;236,94;0,39;98,66;C;;
10/08/2026;024668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033868704;CLASH SAB BARR 2x80g;1,000;26,91;26,91;9,94;0,00;0,00;16,97;63,06;170,72;0,38;99,04;C;;
10/08/2026;024668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033511662;CBEM SAB BARRA ROSA/ALGODAO V8 2x80g;1,000;22,14;22,14;7,21;0,00;0,00;14,93;67,43;207,07;0,33;99,37;C;;
10/08/2026;024668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033879823;ACCORDES DES BDY SPR V7 100ml;1,000;36,54;36,54;22,14;0,00;0,00;14,40;39,41;65,04;0,32;99,69;C;;
10/08/2026;024668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033512270;CBEM SAB BARRA NUVEM 4x80g;1,000;26,26;26,26;14,25;0,00;0,00;12,01;45,73;84,28;0,27;99,96;C;;
10/08/2026;024668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033947645;CBEM SAB BARRA LAVANDINHA 2x80g;1,000;19,92;19,92;8,73;0,00;0,00;11,19;56,17;128,18;0,25;100,21;C;;
10/08/2026;024668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;07891033534098;REF NSPA SAB LIQ CPO PERF AMEIXA 200ml;1,000;0,01;0,01;9,41;0,00;0,00;-9,40;-94000,00;-99,89;-0,21;100,00;C;;
10/08/2026;024669 - 24669 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033843879;MALBEC DES COL V6 100ml;2,000;399,28;199,64;82,80;0,00;0,00;316,48;79,26;382,22;14,95;14,95;A;;
10/08/2026;024669 - 24669 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033553570;MALBEC EDP 90ml;1,000;233,31;233,31;58,02;0,00;0,00;175,29;75,13;302,12;8,28;23,23;A;;
10/08/2026;024669 - 24669 ACQUA DISTRIBUIDORA DE PERFUMES E;07891033487875;MALBEC DES COL SPRT 100ml V3;1,000;239,90;239,90;81,94;0,00;0,00;157,96;65,84;192,78;7,46;30,70;A;;
