CICLO,CP,LOJA,REGIONAL,UF,CANAL,SKU,PRODUTO,UN DO MATERIAL,CATEGORIA,SUB CATEGORIA,CAMPANHA,MARCA,COLABORE,VOLUME PEDIDO SUGESTÃO,VOLUME PEDIDO COLOCADO,GIRO (%),VOLUME PEDIDO FATURADO,LOCAL
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24671,Regional NE-S,AL,LOJA,48139,COFFEE DES COL WOMAN SEDUC 100ml V5,BOT,PERFUMARIA,PERFUMARIA FEMININA,OMNICHANNEL C202612,COFFEE,Não,3,0,0.00%,0,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24668,Regional NE-S,AL,LOJA,48139,COFFEE DES COL WOMAN SEDUC 100ml V5,BOT,PERFUMARIA,PERFUMARIA FEMININA,OMNICHANNEL C202612,COFFEE,Não,3,0,0.00%,0,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24670,Regional NE-S,AL,LOJA,48139,COFFEE DES COL WOMAN SEDUC 100ml V5,BOT,PERFUMARIA,PERFUMARIA FEMININA,OMNICHANNEL C202612,COFFEE,Não,3,0,0.00%,0,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24670,Regional NE-S,AL,LOJA,48181,LILY OL PERF DES CPO 150ml V11,BOT,ÓLEOS,CUIDADOS COM O CORPO,OMNICHANNEL C202612,ESSENCE,Não,3,6,50.00%,6,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24668,Regional NE-S,AL,LOJA,48181,LILY OL PERF DES CPO 150ml V11,BOT,ÓLEOS,CUIDADOS COM O CORPO,OMNICHANNEL C202612,ESSENCE,Não,3,6,66.67%,6,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24671,Regional NE-S,AL,LOJA,48181,LILY OL PERF DES CPO 150ml V11,BOT,ÓLEOS,CUIDADOS COM O CORPO,OMNICHANNEL C202612,ESSENCE,Não,3,5,0.00%,5,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24669,Regional NE-S,AL,LOJA,48181,LILY OL PERF DES CPO 150ml V11,BOT,ÓLEOS,CUIDADOS COM O CORPO,OMNICHANNEL C202612,ESSENCE,Não,3,6,66.67%,6,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24303,Regional NE-S,AL,LOJA,48181,LILY OL PERF DES CPO 150ml V11,BOT,ÓLEOS,CUIDADOS COM O CORPO,OMNICHANNEL C202612,ESSENCE,Não,3,1,0.00%,1,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24303,Regional NE-S,AL,LOJA,48280,NSPA DES COL BDY SPLSH AMEI/NEG 200ml V2,BOT,PERFUMARIA,PERFUMARIA FEMININA,OMNICHANNEL C202612,NATIVA SPA,Não,3,0,0.00%,0,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24671,Regional NE-S,AL,LOJA,48280,NSPA DES COL BDY SPLSH AMEI/NEG 200ml V2,BOT,PERFUMARIA,PERFUMARIA FEMININA,OMNICHANNEL C202612,NATIVA SPA,Não,3,2,100.00%,2,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24670,Regional NE-S,AL,LOJA,48280,NSPA DES COL BDY SPLSH AMEI/NEG 200ml V2,BOT,PERFUMARIA,PERFUMARIA FEMININA,OMNICHANNEL C202612,NATIVA SPA,Não,3,0,0.00%,0,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24668,Regional NE-S,AL,LOJA,48280,NSPA DES COL BDY SPLSH AMEI/NEG 200ml V2,BOT,PERFUMARIA,PERFUMARIA FEMININA,OMNICHANNEL C202612,NATIVA SPA,Não,3,0,0.00%,0,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24669,Regional NE-S,AL,LOJA,48280,NSPA DES COL BDY SPLSH AMEI/NEG 200ml V2,BOT,PERFUMARIA,PERFUMARIA FEMININA,OMNICHANNEL C202612,NATIVA SPA,Não,3,0,0.00%,0,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24670,Regional NE-S,AL,LOJA,48298,FLORATTA DES COL ROSE BOUQUET PRM 10ml,BOT,SUPORTE À VENDA,PRM,OMNICHANNEL C202612,FLORATTA,Não,3,0,0.00%,0,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24671,Regional NE-S,AL,LOJA,48298,FLORATTA DES COL ROSE BOUQUET PRM 10ml,BOT,SUPORTE À VENDA,PRM,OMNICHANNEL C202612,FLORATTA,Não,3,0,0.00%,0,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24669,Regional NE-S,AL,LOJA,48298,FLORATTA DES COL ROSE BOUQUET PRM 10ml,BOT,SUPORTE À VENDA,PRM,OMNICHANNEL C202612,FLORATTA,Não,3,0,0.00%,0,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24668,Regional NE-S,AL,LOJA,48298,FLORATTA DES COL ROSE BOUQUET PRM 10ml,BOT,SUPORTE À VENDA,PRM,OMNICHANNEL C202612,FLORATTA,Não,3,0,0.00%,0,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24303,Regional NE-S,AL,LOJA,48298,FLORATTA DES COL ROSE BOUQUET PRM 10ml,BOT,SUPORTE À VENDA,PRM,OMNICHANNEL C202612,FLORATTA,Não,3,0,0.00%,0,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24669,Regional NE-S,AL,LOJA,48303,FLORATTA DES COL RED V2 75ml,BOT,PERFUMARIA,PERFUMARIA FEMININA,OMNICHANNEL C202612,FLORATTA,Não,3,2,850.00%,2,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24303,Regional NE-S,AL,LOJA,48303,FLORATTA DES COL RED V2 75ml,BOT,PERFUMARIA,PERFUMARIA FEMININA,OMNICHANNEL C202612,FLORATTA,Não,3,15,40.00%,15,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24668,Regional NE-S,AL,LOJA,48303,FLORATTA DES COL RED V2 75ml,BOT,PERFUMARIA,PERFUMARIA FEMININA,OMNICHANNEL C202612,FLORATTA,Não,3,13,123.08%,13,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24670,Regional NE-S,AL,LOJA,48303,FLORATTA DES COL RED V2 75ml,BOT,PERFUMARIA,PERFUMARIA FEMININA,OMNICHANNEL C202612,FLORATTA,Não,3,0,0.00%,0,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24671,Regional NE-S,AL,LOJA,48303,FLORATTA DES COL RED V2 75ml,BOT,PERFUMARIA,PERFUMARIA FEMININA,OMNICHANNEL C202612,FLORATTA,Não,3,0,0.00%,0,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24668,Regional NE-S,AL,LOJA,48315,FLORATTA DES COL GOLD V3 75ml,BOT,PERFUMARIA,PERFUMARIA FEMININA,OMNICHANNEL C202612,FLORATTA,Não,3,10,80.00%,10,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24303,Regional NE-S,AL,LOJA,48315,FLORATTA DES COL GOLD V3 75ml,BOT,PERFUMARIA,PERFUMARIA FEMININA,OMNICHANNEL C202612,FLORATTA,Não,3,0,0.00%,0,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24671,Regional NE-S,AL,LOJA,48315,FLORATTA DES COL GOLD V3 75ml,BOT,PERFUMARIA,PERFUMARIA FEMININA,OMNICHANNEL C202612,FLORATTA,Não,3,0,0.00%,0,INTERIOR
Ciclo 12 - 2026,10258 - CP ALCINA MARIA,24670,Regional NE-S,AL,LOJA,48315,FLORATTA DES COL GOLD V3 75ml,BOT,PERFUMARIA,PERFUMARIA FEMININA,OMNICHANNEL C202612,FLORATTA,Não,3,0,0.00%,0,INTERIOR
